pc_time,packet_no,target_index,track_id,match_distance_m,x_cm,y_cm,speed_cm_s,pv,x_m,y_m,speed_m_s,distance_m
2026-06-26T16:16:20.556,167,6,34,0.149,-48,399,-56,183,-0.480,3.990,-0.560,4.019
2026-06-26T16:16:20.606,168,5,34,0.080,-48,391,-59,212,-0.480,3.910,-0.590,3.939
2026-06-26T16:16:20.657,169,6,34,0.076,-45,384,-62,143,-0.450,3.840,-0.620,3.866
2026-06-26T16:16:20.706,170,5,34,0.133,-32,381,-71,120,-0.320,3.810,-0.710,3.823
2026-06-26T16:16:20.746,171,5,34,0.100,-38,373,-79,93,-0.380,3.730,-0.790,3.749
2026-06-26T16:16:20.796,172,5,34,0.108,-32,364,-85,162,-0.320,3.640,-0.850,3.654
2026-06-26T16:16:20.848,173,4,34,0.072,-36,358,-89,116,-0.360,3.580,-0.890,3.598
2026-06-26T16:16:21.073,174,4,34,0.067,-39,352,-85,142,-0.390,3.520,-0.850,3.542
2026-06-26T16:16:21.074,175,4,34,0.086,-32,347,-90,221,-0.320,3.470,-0.900,3.485
2026-06-26T16:16:21.076,176,4,34,0.050,-32,342,-45,221,-0.320,3.420,-0.450,3.435
2026-06-26T16:16:21.078,177,4,34,0.020,-32,340,-22,221,-0.320,3.400,-0.220,3.415
2026-06-26T16:16:21.103,178,4,34,0.010,-32,339,-11,221,-0.320,3.390,-0.110,3.405
2026-06-26T16:16:21.154,179,4,34,0.010,-32,338,-6,221,-0.320,3.380,-0.060,3.395
2026-06-26T16:16:21.203,180,4,34,0.089,-24,334,-93,84,-0.240,3.340,-0.930,3.349
2026-06-26T16:16:21.253,181,4,34,0.050,-24,329,-47,84,-0.240,3.290,-0.470,3.299
2026-06-26T16:16:21.304,182,4,34,0.020,-24,327,-23,84,-0.240,3.270,-0.230,3.279
2026-06-26T16:16:21.354,183,4,34,0.010,-24,326,-12,84,-0.240,3.260,-0.120,3.269
2026-06-26T16:16:21.404,184,4,34,0.010,-24,325,-6,84,-0.240,3.250,-0.060,3.259
2026-06-26T16:16:21.455,185,4,34,0.120,-36,325,-72,569,-0.360,3.250,-0.720,3.270
2026-06-26T16:16:21.503,186,4,34,0.040,-36,321,-36,569,-0.360,3.210,-0.360,3.230
2026-06-26T16:16:21.552,187,4,34,0.090,-45,321,-56,565,-0.450,3.210,-0.560,3.241
2026-06-26T16:16:21.601,188,4,34,0.030,-45,318,-28,565,-0.450,3.180,-0.280,3.212
2026-06-26T16:16:21.651,189,4,34,0.010,-45,317,-14,565,-0.450,3.170,-0.140,3.202
2026-06-26T16:16:21.699,190,4,34,0.010,-45,316,-7,565,-0.450,3.160,-0.070,3.192
2026-06-26T16:16:21.747,191,4,34,0.010,-45,315,-3,565,-0.450,3.150,-0.030,3.182
2026-06-26T16:16:21.806,192,4,34,0.000,-45,315,-67,140,-0.450,3.150,-0.670,3.182
2026-06-26T16:16:21.905,194,4,34,0.120,-25,293,-82,221,-0.250,2.930,-0.820,2.941
2026-06-26T16:16:22.003,196,4,34,0.108,-13,265,-91,170,-0.130,2.650,-0.910,2.653
2026-06-26T16:16:22.054,197,4,34,0.117,-9,254,-94,210,-0.090,2.540,-0.940,2.542
2026-06-26T16:16:22.103,198,3,34,0.067,-6,248,-97,243,-0.060,2.480,-0.970,2.481
2026-06-26T16:16:22.155,199,2,34,0.067,-3,242,-99,198,-0.030,2.420,-0.990,2.420
2026-06-26T16:16:22.206,200,2,34,0.073,-1,235,-100,172,-0.010,2.350,-1.000,2.350
2026-06-26T16:16:22.256,201,2,34,0.051,0,230,-101,264,0.000,2.300,-1.010,2.300
2026-06-26T16:16:22.306,202,2,34,0.063,2,224,-102,175,0.020,2.240,-1.020,2.240
2026-06-26T16:16:22.357,203,2,34,0.051,3,219,-103,143,0.030,2.190,-1.030,2.190
2026-06-26T16:16:22.396,204,2,34,0.070,3,212,-103,118,0.030,2.120,-1.030,2.120
2026-06-26T16:16:22.455,205,1,34,0.067,6,206,-104,105,0.060,2.060,-1.040,2.061
2026-06-26T16:16:22.502,206,1,34,0.064,10,201,-104,105,0.100,2.010,-1.040,2.012
2026-06-26T16:16:22.549,207,1,34,0.061,11,195,-104,73,0.110,1.950,-1.040,1.953
2026-06-26T16:16:22.606,208,1,34,0.054,13,190,-104,81,0.130,1.900,-1.040,1.904
2026-06-26T16:16:22.655,209,1,34,0.040,13,186,-104,144,0.130,1.860,-1.040,1.865
2026-06-26T16:16:22.705,210,1,34,0.050,13,181,-105,239,0.130,1.810,-1.050,1.815
2026-06-26T16:16:22.755,211,1,34,0.050,13,176,-105,307,0.130,1.760,-1.050,1.765
2026-06-26T16:16:22.804,212,1,34,0.050,13,171,-105,247,0.130,1.710,-1.050,1.715
2026-06-26T16:16:22.854,213,1,34,0.051,14,166,-105,236,0.140,1.660,-1.050,1.666
2026-06-26T16:16:22.904,214,1,34,0.050,14,161,-105,377,0.140,1.610,-1.050,1.616
2026-06-26T16:16:22.954,215,2,34,0.060,14,155,-105,223,0.140,1.550,-1.050,1.556
2026-06-26T16:16:23.004,216,2,34,0.051,15,150,-105,295,0.150,1.500,-1.050,1.507
2026-06-26T16:16:23.054,217,2,34,0.051,16,145,-105,195,0.160,1.450,-1.050,1.459
2026-06-26T16:16:23.104,218,1,34,0.061,17,139,-105,265,0.170,1.390,-1.050,1.400
2026-06-26T16:16:23.154,219,1,34,0.051,18,134,-105,532,0.180,1.340,-1.050,1.352
2026-06-26T16:16:23.204,220,0,34,0.054,20,129,-105,305,0.200,1.290,-1.050,1.305
2026-06-26T16:16:23.255,221,0,34,0.064,24,124,-105,650,0.240,1.240,-1.050,1.263
2026-06-26T16:16:23.305,222,0,34,0.051,25,119,-105,454,0.250,1.190,-1.050,1.216
2026-06-26T16:16:23.355,223,0,34,0.058,28,114,-105,584,0.280,1.140,-1.050,1.174
2026-06-26T16:16:23.406,224,0,34,0.080,28,106,-97,46,0.280,1.060,-0.970,1.096
2026-06-26T16:16:23.456,225,1,34,0.040,28,102,-99,519,0.280,1.020,-0.990,1.058
2026-06-26T16:16:23.508,226,1,34,0.041,29,98,-100,560,0.290,0.980,-1.000,1.022
2026-06-26T16:16:23.557,227,1,34,0.050,29,93,-101,1177,0.290,0.930,-1.010,0.974
2026-06-26T16:16:23.607,228,1,34,0.040,29,89,-102,424,0.290,0.890,-1.020,0.936
2026-06-26T16:16:23.646,229,0,34,0.051,30,84,-95,773,0.300,0.840,-0.950,0.892
2026-06-26T16:16:23.708,230,0,34,0.054,32,79,-89,537,0.320,0.790,-0.890,0.852
2026-06-26T16:16:23.747,231,0,34,0.051,33,74,-85,476,0.330,0.740,-0.850,0.810
2026-06-26T16:16:23.797,232,0,34,0.040,33,70,-81,463,0.330,0.700,-0.810,0.774
2026-06-26T16:16:23.847,233,0,34,0.041,34,66,-79,737,0.340,0.660,-0.790,0.742
2026-06-26T16:16:23.897,234,0,34,0.040,34,62,-69,579,0.340,0.620,-0.690,0.707
2026-06-26T16:16:23.955,235,0,34,0.022,35,60,-61,1186,0.350,0.600,-0.610,0.695
2026-06-26T16:16:24.006,236,0,34,0.041,36,56,-55,326,0.360,0.560,-0.550,0.666
2026-06-26T16:16:24.046,237,0,34,0.032,37,53,-51,354,0.370,0.530,-0.510,0.646
2026-06-26T16:16:24.096,238,0,34,0.041,38,49,-47,425,0.380,0.490,-0.470,0.620
2026-06-26T16:16:24.146,239,0,34,0.020,38,47,-52,354,0.380,0.470,-0.520,0.604
2026-06-26T16:16:24.195,240,0,34,0.020,38,45,-26,354,0.380,0.450,-0.260,0.589
2026-06-26T16:16:24.256,241,0,34,0.014,37,44,-48,287,0.370,0.440,-0.480,0.575
2026-06-26T16:16:24.306,242,0,34,0.020,37,42,-24,287,0.370,0.420,-0.240,0.560
2026-06-26T16:16:24.356,243,0,34,0.014,36,41,-45,220,0.360,0.410,-0.450,0.546
2026-06-26T16:16:24.405,244,0,34,0.045,32,39,-43,180,0.320,0.390,-0.430,0.504
2026-06-26T16:16:24.453,245,0,34,0.020,32,37,-41,170,0.320,0.370,-0.410,0.489
2026-06-26T16:16:24.503,246,0,34,0.030,32,34,-48,172,0.320,0.340,-0.480,0.467
2026-06-26T16:16:24.553,247,0,34,0.022,30,33,-45,381,0.300,0.330,-0.450,0.446
2026-06-26T16:16:24.605,248,0,34,0.022,29,31,-43,517,0.290,0.310,-0.430,0.424
2026-06-26T16:16:24.655,249,0,34,0.022,27,30,-41,644,0.270,0.300,-0.410,0.404
2026-06-26T16:16:24.705,250,0,34,0.022,26,28,-40,515,0.260,0.280,-0.400,0.382
2026-06-26T16:16:24.755,251,0,34,0.022,24,27,-39,320,0.240,0.270,-0.390,0.361
2026-06-26T16:16:24.806,252,0,34,0.020,24,25,-19,320,0.240,0.250,-0.190,0.347
2026-06-26T16:16:24.855,253,0,34,0.010,24,24,-10,320,0.240,0.240,-0.100,0.339
2026-06-26T16:16:24.905,254,0,34,0.000,24,24,-5,320,0.240,0.240,-0.050,0.339
2026-06-26T16:16:24.955,255,0,34,0.041,20,25,-30,500,0.200,0.250,-0.300,0.320
2026-06-26T16:16:25.006,256,0,34,0.063,14,27,-23,563,0.140,0.270,-0.230,0.304
2026-06-26T16:16:25.106,258,0,34,0.010,14,46,-9,373,0.140,0.460,-0.090,0.481
2026-06-26T16:16:25.156,259,0,34,0.058,11,41,-14,606,0.110,0.410,-0.140,0.424
2026-06-26T16:16:25.206,260,0,34,0.045,7,39,-11,406,0.070,0.390,-0.110,0.396
2026-06-26T16:16:25.245,261,0,34,0.058,2,36,0,328,0.020,0.360,0.000,0.361
2026-06-26T16:16:25.306,262,0,34,0.010,1,36,8,417,0.010,0.360,0.080,0.360
2026-06-26T16:16:25.356,263,0,34,0.032,-2,37,14,228,-0.020,0.370,0.140,0.371
2026-06-26T16:16:25.405,264,0,34,0.032,-5,38,19,290,-0.050,0.380,0.190,0.383
2026-06-26T16:16:25.453,265,0,34,0.010,-5,39,9,290,-0.050,0.390,0.090,0.393
2026-06-26T16:16:25.503,266,0,34,0.032,-6,42,22,397,-0.060,0.420,0.220,0.424
2026-06-26T16:16:25.553,267,0,34,0.032,-9,43,25,243,-0.090,0.430,0.250,0.439
2026-06-26T16:16:25.603,268,0,34,0.022,-10,45,27,333,-0.100,0.450,0.270,0.461
2026-06-26T16:16:25.653,269,0,34,0.022,-11,47,29,458,-0.110,0.470,0.290,0.483
2026-06-26T16:16:25.702,270,0,34,0.022,-12,49,30,276,-0.120,0.490,0.300,0.504
2026-06-26T16:16:25.751,271,0,34,0.032,-13,52,31,1039,-0.130,0.520,0.310,0.536
2026-06-26T16:16:25.799,272,0,34,0.020,-13,54,32,608,-0.130,0.540,0.320,0.555
2026-06-26T16:16:25.848,273,0,34,0.032,-12,57,33,805,-0.120,0.570,0.330,0.582
2026-06-26T16:16:25.899,274,0,34,0.036,-9,59,41,286,-0.090,0.590,0.410,0.597
2026-06-26T16:16:25.948,275,0,34,0.030,-9,62,40,755,-0.090,0.620,0.400,0.626
2026-06-26T16:16:25.998,276,0,34,0.032,-8,65,39,846,-0.080,0.650,0.390,0.655
2026-06-26T16:16:26.047,277,0,34,0.042,-5,68,46,413,-0.050,0.680,0.460,0.682
2026-06-26T16:16:26.097,278,0,34,0.050,-1,71,51,269,-0.010,0.710,0.510,0.710
2026-06-26T16:16:26.146,279,0,34,0.032,0,74,63,983,0.000,0.740,0.630,0.740
2026-06-26T16:16:26.207,280,0,34,0.078,6,79,65,181,0.060,0.790,0.650,0.792
2026-06-26T16:16:26.258,281,0,34,0.061,7,85,66,891,0.070,0.850,0.660,0.853
2026-06-26T16:16:26.456,285,0,34,0.036,8,75,-22,223,0.080,0.750,-0.220,0.754
2026-06-26T16:16:26.506,286,0,34,0.054,10,80,-1,254,0.100,0.800,-0.010,0.806
2026-06-26T16:16:26.556,287,0,34,0.064,14,85,15,424,0.140,0.850,0.150,0.861
2026-06-26T16:16:26.656,289,0,34,0.051,16,90,6,139,0.160,0.900,0.060,0.914
2026-06-26T16:16:26.707,290,0,34,0.000,16,90,5,64,0.160,0.900,0.050,0.914
2026-06-26T16:16:26.746,291,0,34,0.063,18,96,28,441,0.180,0.960,0.280,0.977
2026-06-26T16:16:26.796,292,0,34,0.099,25,103,45,346,0.250,1.030,0.450,1.060
2026-06-26T16:16:26.846,293,1,34,0.132,27,116,59,425,0.270,1.160,0.590,1.191
2026-06-26T16:16:26.906,294,1,34,0.030,27,119,61,308,0.270,1.190,0.610,1.220
2026-06-26T16:16:26.957,295,1,34,0.063,29,125,63,445,0.290,1.250,0.630,1.283
2026-06-26T16:16:27.055,297,1,34,0.045,32,129,43,135,0.320,1.290,0.430,1.329
2026-06-26T16:16:27.106,298,1,34,0.061,33,135,57,298,0.330,1.350,0.570,1.390
2026-06-26T16:16:27.203,300,1,34,0.067,36,137,40,292,0.360,1.370,0.400,1.417
2026-06-26T16:16:27.253,301,1,34,0.078,41,143,54,209,0.410,1.430,0.540,1.488
2026-06-26T16:16:27.303,302,1,34,0.070,41,150,66,257,0.410,1.500,0.660,1.555
2026-06-26T16:16:27.353,303,1,34,0.040,41,154,75,199,0.410,1.540,0.750,1.594
2026-06-26T16:16:27.403,304,1,34,0.030,41,157,37,199,0.410,1.570,0.370,1.623
2026-06-26T16:16:27.453,305,1,34,0.020,41,159,19,199,0.410,1.590,0.190,1.642
2026-06-26T16:16:27.503,306,1,34,0.010,41,160,9,199,0.410,1.600,0.090,1.652
2026-06-26T16:16:27.553,307,1,34,0.010,41,161,5,199,0.410,1.610,0.050,1.661
2026-06-26T16:16:27.603,308,1,34,0.000,41,161,2,199,0.410,1.610,0.020,1.661
2026-06-26T16:16:27.654,309,1,34,0.000,41,161,1,199,0.410,1.610,0.010,1.661
2026-06-26T16:16:27.803,312,1,34,0.104,45,171,42,477,0.450,1.710,0.420,1.768
2026-06-26T16:16:27.854,313,1,34,0.020,45,173,21,477,0.450,1.730,0.210,1.788
2026-06-26T16:16:27.903,314,1,34,0.108,49,183,48,150,0.490,1.830,0.480,1.894
2026-06-26T16:16:27.953,315,1,34,0.085,52,191,53,357,0.520,1.910,0.530,1.980
2026-06-26T16:16:28.005,316,1,34,0.132,54,204,57,517,0.540,2.040,0.570,2.110
2026-06-26T16:16:28.054,317,1,34,0.060,54,210,60,685,0.540,2.100,0.600,2.168
2026-06-26T16:16:28.103,318,2,34,0.063,56,216,62,211,0.560,2.160,0.620,2.231
2026-06-26T16:16:28.154,319,3,34,0.050,56,221,72,132,0.560,2.210,0.720,2.280
2026-06-26T16:16:28.205,320,3,34,0.060,56,227,79,369,0.560,2.270,0.790,2.338
2026-06-26T16:16:28.255,321,3,34,0.060,56,233,85,57,0.560,2.330,0.850,2.396
2026-06-26T16:16:28.306,322,4,34,0.071,55,240,82,53,0.550,2.400,0.820,2.462
2026-06-26T16:16:28.357,323,4,34,0.050,55,245,79,397,0.550,2.450,0.790,2.511
2026-06-26T16:16:28.408,324,4,34,0.040,55,249,77,129,0.550,2.490,0.770,2.550
2026-06-26T16:16:28.447,325,4,34,0.041,54,253,83,199,0.540,2.530,0.830,2.587
2026-06-26T16:16:28.496,326,4,34,0.063,52,259,88,350,0.520,2.590,0.880,2.642
2026-06-26T16:16:28.547,327,4,34,0.050,52,264,92,361,0.520,2.640,0.920,2.691
2026-06-26T16:16:28.597,328,4,34,0.050,52,269,46,361,0.520,2.690,0.460,2.740
2026-06-26T16:16:28.646,329,4,34,0.030,52,272,95,367,0.520,2.720,0.950,2.769
2026-06-26T16:16:28.696,330,4,34,0.051,51,277,97,386,0.510,2.770,0.970,2.817
2026-06-26T16:16:28.747,331,4,34,0.051,50,282,99,244,0.500,2.820,0.990,2.864
2026-06-26T16:16:28.797,332,5,34,0.073,48,289,100,92,0.480,2.890,1.000,2.930
2026-06-26T16:16:28.855,333,5,34,0.050,48,294,101,234,0.480,2.940,1.010,2.979
2026-06-26T16:16:28.902,334,5,34,0.051,47,299,102,239,0.470,2.990,1.020,3.027
2026-06-26T16:16:28.950,335,5,34,0.050,47,304,51,239,0.470,3.040,0.510,3.076
2026-06-26T16:16:28.999,336,5,34,0.032,46,307,103,290,0.460,3.070,1.030,3.104
2026-06-26T16:16:29.049,337,5,34,0.051,45,312,103,260,0.450,3.120,1.030,3.152
2026-06-26T16:16:29.099,338,5,34,0.051,44,317,104,303,0.440,3.170,1.040,3.200
2026-06-26T16:16:29.148,339,5,34,0.063,42,323,104,140,0.420,3.230,1.040,3.257
2026-06-26T16:16:29.198,340,5,34,0.054,40,328,104,123,0.400,3.280,1.040,3.304
2026-06-26T16:16:29.248,341,6,34,0.040,40,332,104,183,0.400,3.320,1.040,3.344
2026-06-26T16:16:29.299,342,6,34,0.051,39,337,104,143,0.390,3.370,1.040,3.392
2026-06-26T16:16:29.348,343,6,34,0.051,40,342,105,223,0.400,3.420,1.050,3.443
2026-06-26T16:16:29.397,344,6,34,0.051,39,347,105,96,0.390,3.470,1.050,3.492
2026-06-26T16:16:29.447,345,7,34,0.050,39,352,105,99,0.390,3.520,1.050,3.542
2026-06-26T16:16:29.498,346,7,34,0.040,39,356,105,84,0.390,3.560,1.050,3.581
2026-06-26T16:16:29.547,347,7,34,0.050,39,361,105,102,0.390,3.610,1.050,3.631
2026-06-26T16:16:29.596,348,7,34,0.050,39,366,105,247,0.390,3.660,1.050,3.681
2026-06-26T16:16:29.647,349,7,34,0.081,40,374,105,113,0.400,3.740,1.050,3.761
2026-06-26T16:16:29.697,350,8,34,0.058,37,379,105,102,0.370,3.790,1.050,3.808
2026-06-26T16:16:29.757,351,8,34,0.051,36,384,105,73,0.360,3.840,1.050,3.857
2026-06-26T16:16:29.796,352,8,34,0.054,34,389,97,112,0.340,3.890,0.970,3.905
2026-06-26T16:16:29.846,353,9,34,0.050,34,394,49,112,0.340,3.940,0.490,3.955
2026-06-26T16:16:29.906,354,9,34,0.020,34,396,24,112,0.340,3.960,0.240,3.975
2026-06-26T16:16:29.955,355,9,34,0.010,34,397,12,112,0.340,3.970,0.120,3.985
2026-06-26T16:16:30.005,356,9,34,0.010,34,398,6,112,0.340,3.980,0.060,3.994
2026-06-26T16:16:30.057,357,9,34,0.000,34,398,3,112,0.340,3.980,0.030,3.994
2026-06-26T16:16:30.105,358,9,34,0.000,34,398,2,112,0.340,3.980,0.020,3.994
2026-06-26T16:16:30.156,359,9,34,0.000,34,398,1,112,0.340,3.980,0.010,3.994
2026-06-26T16:16:30.206,360,9,34,0.000,34,398,0,112,0.340,3.980,0.000,3.994
2026-06-26T16:16:30.257,361,9,34,0.000,34,398,0,112,0.340,3.980,0.000,3.994
2026-06-26T16:16:30.307,362,9,34,0.000,34,398,0,112,0.340,3.980,0.000,3.994
2026-06-26T16:16:30.357,363,9,34,0.000,34,398,0,112,0.340,3.980,0.000,3.994
2026-06-26T16:16:30.406,364,9,34,0.000,34,398,0,112,0.340,3.980,0.000,3.994
2026-06-26T16:16:30.505,366,9,34,0.000,34,398,0,112,0.340,3.980,0.000,3.994
2026-06-26T16:16:30.555,367,9,34,0.000,34,398,0,112,0.340,3.980,0.000,3.994
2026-06-26T16:16:30.604,368,9,34,0.000,34,398,0,112,0.340,3.980,0.000,3.994
2026-06-26T16:16:33.806,432,2,54,0.071,60,195,-64,283,0.600,1.950,-0.640,2.040
2026-06-26T16:16:33.846,433,2,54,0.030,60,192,-65,363,0.600,1.920,-0.650,2.012
2026-06-26T16:16:33.896,434,2,54,0.064,56,187,-66,157,0.560,1.870,-0.660,1.952
2026-06-26T16:16:33.947,435,2,54,0.040,56,183,-33,157,0.560,1.830,-0.330,1.914
2026-06-26T16:16:33.999,436,2,54,0.036,54,180,-67,155,0.540,1.800,-0.670,1.879
2026-06-26T16:16:34.049,437,2,54,0.040,54,176,-68,181,0.540,1.760,-0.680,1.841
2026-06-26T16:16:34.101,438,2,54,0.051,53,171,-68,174,0.530,1.710,-0.680,1.790
2026-06-26T16:16:34.153,439,2,54,0.030,53,168,-34,174,0.530,1.680,-0.340,1.762
2026-06-26T16:16:34.203,440,2,54,0.020,53,166,-17,174,0.530,1.660,-0.170,1.743
2026-06-26T16:16:34.253,441,2,54,0.067,50,160,-77,309,0.500,1.600,-0.770,1.676
2026-06-26T16:16:34.304,442,2,54,0.054,48,155,-83,302,0.480,1.550,-0.830,1.623
2026-06-26T16:16:34.355,443,2,54,0.061,47,149,-80,312,0.470,1.490,-0.800,1.562
2026-06-26T16:16:34.406,444,2,54,0.051,46,144,-78,486,0.460,1.440,-0.780,1.512
2026-06-26T16:16:34.446,445,2,54,0.050,46,139,-84,233,0.460,1.390,-0.840,1.464
2026-06-26T16:16:34.497,446,2,54,0.091,45,130,-81,128,0.450,1.300,-0.810,1.376
2026-06-26T16:16:34.547,447,2,54,0.051,44,125,-86,159,0.440,1.250,-0.860,1.325
2026-06-26T16:16:34.601,448,1,54,0.050,44,120,-83,365,0.440,1.200,-0.830,1.278
2026-06-26T16:16:34.649,449,2,54,0.040,44,116,-80,149,0.440,1.160,-0.800,1.241
2026-06-26T16:16:34.699,450,2,54,0.036,42,113,-85,287,0.420,1.130,-0.850,1.206
2026-06-26T16:16:34.750,451,2,54,0.036,40,110,-90,342,0.400,1.100,-0.900,1.170
2026-06-26T16:16:34.801,452,1,54,0.108,49,104,-93,76,0.490,1.040,-0.930,1.150
2026-06-26T16:16:34.853,453,1,54,0.051,48,99,-88,535,0.480,0.990,-0.880,1.100
2026-06-26T16:16:34.904,454,1,54,0.041,47,95,-84,1002,0.470,0.950,-0.840,1.060
2026-06-26T16:16:34.956,455,1,54,0.051,46,90,-81,819,0.460,0.900,-0.810,1.011
2026-06-26T16:16:34.995,456,1,54,0.040,46,86,-40,819,0.460,0.860,-0.400,0.975
2026-06-26T16:16:35.046,457,1,54,0.020,46,84,-20,819,0.460,0.840,-0.200,0.958
2026-06-26T16:16:35.097,458,1,54,0.125,52,73,-62,39,0.520,0.730,-0.620,0.896
2026-06-26T16:16:35.147,459,1,54,0.030,52,70,-31,39,0.520,0.700,-0.310,0.872
2026-06-26T16:16:35.196,460,1,54,0.020,52,68,-16,39,0.520,0.680,-0.160,0.856
2026-06-26T16:16:35.255,461,2,54,0.010,52,67,-8,39,0.520,0.670,-0.080,0.848
2026-06-26T16:16:35.303,462,1,54,0.041,53,63,-64,389,0.530,0.630,-0.640,0.823
2026-06-26T16:16:35.352,463,1,54,0.030,53,60,-32,389,0.530,0.600,-0.320,0.801
2026-06-26T16:16:35.402,464,2,54,0.050,49,63,-58,58,0.490,0.630,-0.580,0.798
2026-06-26T16:16:35.452,465,0,54,0.098,53,54,-52,79,0.530,0.540,-0.520,0.757
2026-06-26T16:16:35.503,466,0,54,0.030,53,51,-26,79,0.530,0.510,-0.260,0.736
2026-06-26T16:16:35.555,467,0,54,0.010,53,50,-13,79,0.530,0.500,-0.130,0.729
2026-06-26T16:16:35.604,468,1,54,0.010,53,49,-7,79,0.530,0.490,-0.070,0.722
2026-06-26T16:16:39.299,542,1,76,0.148,-54,165,23,197,-0.540,1.650,0.230,1.736
2026-06-26T16:16:39.348,543,1,76,0.110,-53,176,34,323,-0.530,1.760,0.340,1.838
2026-06-26T16:16:39.948,555,4,45,0.050,-58,269,49,215,-0.580,2.690,0.490,2.752
2026-06-26T16:16:40.051,557,4,45,0.117,-52,263,51,131,-0.520,2.630,0.510,2.681
2026-06-26T16:16:40.102,558,4,45,0.020,-54,263,56,203,-0.540,2.630,0.560,2.685
2026-06-26T16:16:40.152,559,4,45,0.022,-56,264,59,186,-0.560,2.640,0.590,2.699
2026-06-26T16:16:40.203,560,4,45,0.071,-49,265,61,256,-0.490,2.650,0.610,2.695
2026-06-26T16:16:40.303,562,4,45,0.045,-36,270,65,246,-0.360,2.700,0.650,2.724
2026-06-26T16:16:40.354,563,4,45,0.082,-28,272,66,210,-0.280,2.720,0.660,2.734
2026-06-26T16:16:40.405,564,4,45,0.098,-37,276,75,100,-0.370,2.760,0.750,2.785
2026-06-26T16:16:40.495,566,4,45,0.125,-54,298,45,450,-0.540,2.980,0.450,3.029
2026-06-26T16:16:40.545,567,4,45,0.086,-59,305,35,429,-0.590,3.050,0.350,3.107
2026-06-26T16:16:40.594,568,4,45,0.020,-59,307,27,476,-0.590,3.070,0.270,3.126
2026-06-26T16:16:40.644,569,4,45,0.010,-59,308,21,491,-0.590,3.080,0.210,3.136
2026-06-26T16:16:40.705,570,4,45,0.020,-59,310,16,537,-0.590,3.100,0.160,3.156
2026-06-26T16:16:45.897,674,3,48,0.078,60,248,-65,90,0.600,2.480,-0.650,2.552
2026-06-26T16:16:45.945,675,3,48,0.108,56,238,-66,42,0.560,2.380,-0.660,2.445
2026-06-26T16:16:46.005,676,3,48,0.067,53,232,-75,58,0.530,2.320,-0.750,2.380
2026-06-26T16:16:46.054,677,3,48,0.051,54,227,-74,122,0.540,2.270,-0.740,2.333
2026-06-26T16:16:46.104,678,3,48,0.040,54,223,-73,153,0.540,2.230,-0.730,2.294
2026-06-26T16:16:46.144,679,3,48,0.040,54,219,-72,162,0.540,2.190,-0.720,2.256
2026-06-26T16:16:46.194,680,3,48,0.041,53,215,-80,168,0.530,2.150,-0.800,2.214
2026-06-26T16:16:46.246,681,3,48,0.076,50,208,-85,39,0.500,2.080,-0.850,2.139
2026-06-26T16:16:46.295,682,3,48,0.041,49,204,-82,305,0.490,2.040,-0.820,2.098
2026-06-26T16:16:46.344,683,3,48,0.041,50,200,-79,305,0.500,2.000,-0.790,2.062
2026-06-26T16:16:46.404,684,2,48,0.040,50,196,-77,179,0.500,1.960,-0.770,2.023
2026-06-26T16:16:46.444,685,2,48,0.051,51,191,-75,105,0.510,1.910,-0.750,1.977
2026-06-26T16:16:46.695,690,2,48,0.089,59,171,-79,248,0.590,1.710,-0.790,1.809
2026-06-26T16:16:46.745,691,2,48,0.040,59,167,-39,248,0.590,1.670,-0.390,1.771
2026-06-26T16:16:46.795,692,2,48,0.036,56,165,-77,301,0.560,1.650,-0.770,1.742
2026-06-26T16:16:46.845,693,2,48,0.040,56,161,-38,301,0.560,1.610,-0.380,1.705
2026-06-26T16:16:46.895,694,2,48,0.041,55,157,-83,391,0.550,1.570,-0.830,1.664
2026-06-26T16:16:46.945,695,2,48,0.067,52,151,-88,83,0.520,1.510,-0.880,1.597
2026-06-26T16:16:46.994,696,2,48,0.061,51,145,-84,209,0.510,1.450,-0.840,1.537
2026-06-26T16:16:47.054,697,2,48,0.061,50,139,-89,454,0.500,1.390,-0.890,1.477
2026-06-26T16:16:47.105,698,2,48,0.051,49,134,-92,631,0.490,1.340,-0.920,1.427
2026-06-26T16:16:47.144,699,2,48,0.051,48,129,-95,427,0.480,1.290,-0.950,1.376
2026-06-26T16:16:47.205,700,2,48,0.051,47,124,-97,541,0.470,1.240,-0.970,1.326
2026-06-26T16:16:47.255,701,1,48,0.120,47,112,-91,158,0.470,1.120,-0.910,1.215
2026-06-26T16:16:47.295,702,1,48,0.030,47,109,-86,577,0.470,1.090,-0.860,1.187
2026-06-26T16:16:47.344,703,1,48,0.040,47,105,-83,563,0.470,1.050,-0.830,1.150
2026-06-26T16:16:47.404,704,1,48,0.030,47,102,-80,829,0.470,1.020,-0.800,1.123
2026-06-26T16:16:47.455,705,1,48,0.045,49,98,-78,566,0.490,0.980,-0.780,1.096
2026-06-26T16:16:47.495,706,1,48,0.032,48,95,-76,609,0.480,0.950,-0.760,1.064
2026-06-26T16:16:47.544,707,1,48,0.058,51,90,-75,490,0.510,0.900,-0.750,1.034
2026-06-26T16:16:47.606,708,1,48,0.040,51,86,-74,919,0.510,0.860,-0.740,1.000
2026-06-26T16:16:47.655,709,1,48,0.040,51,82,-37,919,0.510,0.820,-0.370,0.966
2026-06-26T16:16:47.705,710,2,48,0.020,51,80,-18,919,0.510,0.800,-0.180,0.949
